#TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference
CVA,SwaptionVolatility/EUR/31/3Y/20Y/ATM,Up,111748.57,0.000001,#N/A,111617.68,-130.88
CVA,SwaptionVolatility/EUR/32/3Y/30Y/ATM,Up,111748.57,0.000001,#N/A,111609.20,-139.37
CVA,SwaptionVolatility/EUR/41/4Y/15Y/ATM,Up,111748.57,0.000001,#N/A,111689.65,-58.91
CVA,SwaptionVolatility/EUR/42/4Y/20Y/ATM,Up,111748.57,0.000001,#N/A,111643.04,-105.52
CVA,SwaptionVolatility/EUR/43/4Y/30Y/ATM,Up,111748.57,0.000001,#N/A,111647.56,-101.01
CVA,SwaptionVolatility/EUR/51/5Y/12Y/ATM,Up,111748.57,0.000001,#N/A,111746.67,-1.90
CVA,SwaptionVolatility/EUR/52/5Y/15Y/ATM,Up,111748.57,0.000001,#N/A,111647.10,-101.47
CVA,SwaptionVolatility/EUR/53/5Y/20Y/ATM,Up,111748.57,0.000001,#N/A,111734.62,-13.94
CVA,SwaptionVolatility/EUR/61/7Y/10Y/ATM,Up,111748.57,0.000001,#N/A,111691.42,-57.15
CVA,SwaptionVolatility/EUR/62/7Y/12Y/ATM,Up,111748.57,0.000001,#N/A,111823.73,75.17
CVA,SwaptionVolatility/EUR/63/7Y/15Y/ATM,Up,111748.57,0.000001,#N/A,111652.13,-96.44
CVA,SwaptionVolatility/EUR/64/7Y/20Y/ATM,Up,111748.57,0.000001,#N/A,111647.26,-101.30
CVA,SwaptionVolatility/EUR/71/10Y/7Y/ATM,Up,111748.57,0.000001,#N/A,111630.19,-118.38
CVA,SwaptionVolatility/EUR/72/10Y/10Y/ATM,Up,111748.57,0.000001,#N/A,111638.24,-110.33
CVA,SwaptionVolatility/EUR/73/10Y/12Y/ATM,Up,111748.57,0.000001,#N/A,111758.03,9.46
CVA,SwaptionVolatility/EUR/74/10Y/15Y/ATM,Up,111748.57,0.000001,#N/A,111711.79,-36.78
CVA,SwaptionVolatility/EUR/81/12Y/5Y/ATM,Up,111748.57,0.000001,#N/A,111711.23,-37.33
CVA,SwaptionVolatility/EUR/82/12Y/7Y/ATM,Up,111748.57,0.000001,#N/A,111906.34,157.77
CVA,SwaptionVolatility/EUR/83/12Y/10Y/ATM,Up,111748.57,0.000001,#N/A,111616.94,-131.63
CVA,SwaptionVolatility/EUR/84/12Y/12Y/ATM,Up,111748.57,0.000001,#N/A,111680.52,-68.04
CVA,SwaptionVolatility/EUR/88/15Y/1Y/ATM,Up,111748.57,0.000001,#N/A,111648.48,-100.09
CVA,SwaptionVolatility/EUR/89/15Y/2Y/ATM,Up,111748.57,0.000001,#N/A,111662.36,-86.20
CVA,SwaptionVolatility/EUR/90/15Y/3Y/ATM,Up,111748.57,0.000001,#N/A,111709.23,-39.34
CVA,SwaptionVolatility/EUR/91/15Y/4Y/ATM,Up,111748.57,0.000001,#N/A,111705.15,-43.41
CVA,SwaptionVolatility/EUR/92/15Y/5Y/ATM,Up,111748.57,0.000001,#N/A,111711.40,-37.16
CVA,SwaptionVolatility/EUR/93/15Y/7Y/ATM,Up,111748.57,0.000001,#N/A,111770.24,21.67
CVA,SwaptionVolatility/EUR/94/15Y/10Y/ATM,Up,111748.57,0.000001,#N/A,111631.96,-116.61
CVA,SwaptionVolatility/EUR/99/20Y/1Y/ATM,Up,111748.57,0.000001,#N/A,111675.22,-73.35
CVA,SwaptionVolatility/EUR/100/20Y/2Y/ATM,Up,111748.57,0.000001,#N/A,111713.10,-35.47
CVA,SwaptionVolatility/EUR/101/20Y/3Y/ATM,Up,111748.57,0.000001,#N/A,111653.16,-95.41
CVA,SwaptionVolatility/EUR/102/20Y/4Y/ATM,Up,111748.57,0.000001,#N/A,111724.05,-24.52
CVA,SwaptionVolatility/EUR/103/20Y/5Y/ATM,Up,111748.57,0.000001,#N/A,111696.40,-52.16
CVA,SurvivalProbability/BANK/0/2W,Up,111748.57,0.000001,#N/A,111729.43,-19.14
CVA,SurvivalProbability/BANK/1/1M,Up,111748.57,0.000001,#N/A,111697.37,-51.19
CVA,SurvivalProbability/BANK/2/3M,Up,111748.57,0.000001,#N/A,111964.94,216.37
CVA,SurvivalProbability/BANK/3/6M,Up,111748.57,0.000001,#N/A,111696.52,-52.05
CVA,SurvivalProbability/BANK/4/1Y,Up,111748.57,0.000001,#N/A,111693.29,-55.28
CVA,SurvivalProbability/BANK/5/2Y,Up,111748.57,0.000001,#N/A,111745.04,-3.52
CVA,SurvivalProbability/BANK/6/3Y,Up,111748.57,0.000001,#N/A,111676.32,-72.25
CVA,SurvivalProbability/BANK/7/5Y,Up,111748.57,0.000001,#N/A,111742.08,-6.48
CVA,SurvivalProbability/BANK/8/10Y,Up,111748.57,0.000001,#N/A,111686.24,-62.32
CVA,SurvivalProbability/BANK/9/15Y,Up,111748.57,0.000001,#N/A,111726.24,-22.33
CVA,SurvivalProbability/BANK/10/20Y,Up,111748.57,0.000001,#N/A,111793.64,45.08
CVA,SurvivalProbability/BANK/11/30Y,Up,111748.57,0.000001,#N/A,111677.46,-71.11
