#Key,Total,Count,Max,Min,Average
PRICING|Run PRICINGAnalytic,221265,1,221265,221265,221265.00
PRICING|buildMarket(),203098,1,203098,203098,203098.00
PRICING|buildPortfolio(),14421,1,14421,14421,14421.00
XVA|Run XVAAnalytic,309665674,1,309665674,309665674,309665674.00
