#TradeId,ResultId,ResultType,ResultValue
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-01-09,double,4608.284391
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-01-10,double,4608.900838
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-01-11,double,4609.517723
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-01-12,double,4610.135048
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-01-16,double,4612.608740
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-01-17,double,4613.228262
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-01-18,double,4613.838804
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-01-19,double,4614.449783
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-01-22,double,4616.054163
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-01-23,double,4616.587959
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-01-24,double,4617.121257
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-01-25,double,4617.654056
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-01-26,double,4618.186355
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-01-29,double,4619.780257
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-01-30,double,4620.310558
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-01-31,double,4620.840359
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-02-01,double,4621.415629
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-02-02,double,4621.990926
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-02-05,double,4623.716981
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-02-06,double,4624.292387
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-02-07,double,4624.867820
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-02-08,double,4625.443279
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-02-09,double,4626.018766
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-02-12,double,4627.745389
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-02-13,double,4628.320984
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-02-14,double,4628.896606
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-02-15,double,4629.472255
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-02-16,double,4630.047931
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-02-20,double,4632.090207
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-02-21,double,4632.599151
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-02-22,double,4633.102767
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-02-23,double,4633.605731
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-02-26,double,4635.110711
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-02-27,double,4635.611066
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-02-28,double,4636.110768
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-02-29,double,4636.609817
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-03-01,double,4637.108213
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-03-04,double,4638.599478
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-03-05,double,4639.095258
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-03-06,double,4639.590384
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-03-07,double,4640.084855
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-03-08,double,4640.578671
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-03-11,double,4642.056189
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-03-12,double,4642.547384
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-03-13,double,4643.037923
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-03-14,double,4643.527805
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-03-15,double,4644.017032
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-03-18,double,4645.928650
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-03-19,double,4646.567280
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-03-20,double,4647.206623
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-03-21,double,4647.838090
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-03-22,double,4648.470268
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-03-25,double,4650.371068
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-03-26,double,4651.006092
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-03-27,double,4651.641827
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-03-28,double,4652.278275
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-03-29,double,4652.818744
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-04-01,double,4654.439342
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-04-02,double,4654.979271
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-04-03,double,4655.519066
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-04-04,double,4656.058727
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-04-05,double,4656.598252
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-04-08,double,4658.216018
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-04-09,double,4658.755003
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-04-10,double,4659.293853
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-04-11,double,4659.832567
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-04-12,double,4660.371146
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-04-15,double,4661.986071
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-04-16,double,4662.524108
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-04-17,double,4663.062010
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-04-18,double,4663.568528
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-04-19,double,4664.074903
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-04-22,double,4665.577182
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-04-23,double,4666.077571
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-04-24,double,4666.577775
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-04-25,double,4667.077793
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-04-26,double,4667.577626
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-04-29,double,4669.076010
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-04-30,double,4669.575099
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-05-01,double,4670.074003
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-05-02,double,4670.572721
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-05-03,double,4671.071253
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-05-06,double,4672.565732
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-05-07,double,4673.063519
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-05-08,double,4673.561120
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-05-09,double,4674.058534
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-05-10,double,4674.555762
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-05-13,double,4676.046325
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-05-14,double,4676.542806
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-05-15,double,4677.039100
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-05-16,double,4677.535207
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-05-17,double,4678.031127
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-05-20,double,4679.540024
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-05-21,double,4680.042722
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-05-22,double,4680.545286
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-05-23,double,4681.047715
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-05-24,double,4681.550011
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-05-28,double,4683.557849
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-05-29,double,4684.059473
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-05-30,double,4684.560962
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-05-31,double,4685.062317
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-06-03,double,4686.565573
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-06-04,double,4687.066389
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-06-05,double,4687.567070
4:AsianBasketOption,BlackScholes.Forward_EQ-RIC:.SPX_2024-06-06,double,4688.067617
