#TradeId,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,Notional,NotionalCurrency,Notional(Base),NettingSet,CounterParty
1:EquityOption,ScriptedTrade,2023-11-07,0.252055,153167.579540,EUR,153167.579540,EUR,4350000.00,EUR,4350000.00,CPTY,CPTY
2:EquityBarrierOption,ScriptedTrade,2023-11-07,0.252055,155379.707913,EUR,155379.707913,EUR,4350000.00,EUR,4350000.00,CPTY,CPTY
3:EquityAccumulator,ScriptedTrade,2028-08-09,5.006565,590644.052875,EUR,590644.052875,EUR,420000.00,EUR,420000.00,CPTY,CPTY
4:AsianBasketOption,ScriptedTrade,2024-10-20,1.203286,2027118.374374,EUR,2027118.374374,EUR,45000000.00,EUR,45000000.00,CPTY_A,CPTY_A
5:TaRF,ScriptedTrade,2025-01-22,1.460274,3564162.463302,USD,3239707.573351,EUR,50000.00,EUR,50000.00,CPTY,CPTY
6:TaRF_2,ScriptedTrade,2025-01-22,1.460274,2697615.860231,USD,2452044.939692,EUR,50000.00,EUR,50000.00,CPTY,CPTY
