#TradeId,ResultId,ResultType,ResultValue
1:EquityOption,isdaAssetClass,string,Equity
1:EquityOption,isdaBaseProduct,string,Other
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-12,double,4366.880107
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-13,double,4367.336947
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-16,double,4368.707755
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-17,double,4369.164787
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-18,double,4369.621867
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-19,double,4370.078994
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-20,double,4370.536169
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-23,double,4371.907982
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-24,double,4372.365348
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-25,double,4372.822762
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-26,double,4373.280225
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-27,double,4373.737735
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-30,double,4375.110552
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-31,double,4375.568254
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-11-01,double,4376.026003
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-11-02,double,4376.483800
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-11-03,double,4376.941646
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-11-06,double,4378.315469
2:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-11-07,double,4378.773505
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-08,double,0.166080
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-09,double,0.166080
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-10,double,0.166080
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-11,double,0.166080
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-14,double,0.166080
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-15,double,0.166080
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-16,double,0.166080
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-17,double,0.166080
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-18,double,0.166080
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-21,double,0.163060
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-22,double,0.162313
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-23,double,0.161656
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-24,double,0.161075
