#TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference
CVA,SwaptionVolatility/EUR/92/15Y/5Y/ATM,Up,55569300.18,0.000001,#N/A,55570244.39,944.21
CVA,SwaptionVolatility/EUR/93/15Y/7Y/ATM,Up,55569300.18,0.000001,#N/A,55569427.07,126.88
CVA,SwaptionVolatility/EUR/99/20Y/1Y/ATM,Up,55569300.18,0.000001,#N/A,55569385.53,85.35
CVA,SwaptionVolatility/EUR/100/20Y/2Y/ATM,Up,55569300.18,0.000001,#N/A,55569390.54,90.36
CVA,SwaptionVolatility/EUR/101/20Y/3Y/ATM,Up,55569300.18,0.000001,#N/A,55569421.13,120.95
CVA,SwaptionVolatility/EUR/102/20Y/4Y/ATM,Up,55569300.18,0.000001,#N/A,55569390.92,90.74
CVA,SurvivalProbability/BANK/0/2W,Up,55569300.18,0.000001,#N/A,55569299.40,-0.79
CVA,SurvivalProbability/BANK/1/1M,Up,55569300.18,0.000001,#N/A,55569297.93,-2.25
CVA,SurvivalProbability/BANK/2/3M,Up,55569300.18,0.000001,#N/A,55569292.79,-7.39
CVA,SurvivalProbability/BANK/3/6M,Up,55569300.18,0.000001,#N/A,55569286.48,-13.71
CVA,SurvivalProbability/BANK/4/1Y,Up,55569300.18,0.000001,#N/A,55569252.54,-47.64
CVA,SurvivalProbability/BANK/5/2Y,Up,55569300.18,0.000001,#N/A,55569232.82,-67.36
CVA,SurvivalProbability/BANK/6/3Y,Up,55569300.18,0.000001,#N/A,55569214.64,-85.55
CVA,SurvivalProbability/BANK/7/5Y,Up,55569300.18,0.000001,#N/A,55569284.56,-15.62
CVA,SurvivalProbability/BANK/8/10Y,Up,55569300.18,0.000001,#N/A,55569856.58,556.39
CVA,SurvivalProbability/BANK/9/15Y,Up,55569300.18,0.000001,#N/A,55570663.60,1363.42
CVA,SurvivalProbability/BANK/10/20Y,Up,55569300.18,0.000001,#N/A,55570471.47,1171.28
